Date,Sessions
2014-01-01,13.194819843715564
2014-01-02,13.3171798795576
2014-01-03,13.294919069663491
2014-01-04,13.141242048572714
2014-01-05,13.082211991309304
2014-01-06,13.388966338200312
2014-01-07,14.031723749718074
2014-01-08,14.095643708870108
2014-01-09,13.83727009279671
2014-01-10,13.384764564267103
2014-01-11,13.00732955918412
2014-01-12,13.24099938251215
2014-01-13,12.943487876134666
2014-01-14,13.330022866980068
2014-01-15,13.052796769933789
2014-01-16,13.26379870150369
2014-01-17,12.937389506332536
2014-01-18,12.927836437035998
2014-01-19,13.100111633468865
2014-01-20,13.240368610595233
2014-01-21,13.516535627205831
2014-01-22,13.289154966079977
2014-01-23,13.410296418360879
2014-01-24,13.035405817148371
2014-01-25,12.927476810460577
2014-01-26,12.94876684662864
2014-01-27,13.05557592932522
2014-01-28,13.285449446048291
2014-01-29,13.382073353131313
2014-01-30,13.099858021024133
2014-01-31,13.008923645931928
2014-02-01,12.835899229647742
2014-02-02,12.859033046444837
2014-02-03,13.407027901633448
2014-02-04,13.108262424625204
2014-02-05,13.464097460484389
2014-02-06,13.215866470865755
2014-02-07,13.294600927744264
2014-02-08,13.24519321207525
2014-02-09,13.028215322071702
2014-02-10,13.421292464403962
2014-02-11,13.302091574345685
2014-02-12,13.227224168220493
2014-02-13,13.486750902776796
2014-02-14,13.298720515698252
2014-02-15,13.18478215346892
2014-02-16,13.114663811677888
2014-02-17,13.13217310431382
2014-02-18,13.311420532373926
2014-02-19,13.350255635740742
2014-02-20,13.325487061827546
2014-02-21,13.566402835972255
2014-02-22,12.857326945876407
2014-02-23,13.235531335509693
2014-02-24,13.255843018689774
2014-02-25,13.509121258046797
2014-02-26,13.33131550513211
2014-02-27,13.563871076859423
2014-02-28,13.258932401750588
2014-03-01,13.16481156894916
2014-03-02,12.90768638342828
2014-03-03,13.426935014773676
2014-03-04,13.311153964826865
2014-03-05,13.461398042485484
2014-03-06,13.329753086021068
2014-03-07,13.29199644133208
2014-03-08,12.769791433209692
2014-03-09,12.807386843821272
2014-03-10,13.389816211574402
2014-03-11,13.520014032048378
2014-03-12,13.471981681724127
2014-03-13,13.26114048716492
2014-03-14,12.8676336952059
2014-03-15,13.130432732410286
2014-03-16,13.014902880550862
2014-03-17,13.589581881787975
2014-03-18,13.4086980425104
2014-03-19,13.412384711648532
2014-03-20,13.247975243196594
2014-03-21,13.492525952921184
2014-03-22,13.152405557945388
2014-03-23,13.285498716882431
2014-03-24,13.493856586534912
2014-03-25,13.570819007077468
2014-03-26,13.702622895392446
2014-03-27,13.269237360459927
2014-03-28,13.430619838091719
2014-03-29,13.256658228520237
2014-03-30,13.402886384793518
2014-03-31,13.29856122249026
2014-04-01,13.519074279017282
2014-04-02,13.294312997815327
2014-04-03,13.597834532452698
2014-04-04,13.37278273856548
2014-04-05,12.854324442406716
2014-04-06,13.162593196623394
2014-04-07,13.236195507390361
2014-04-08,13.33725376486237
2014-04-09,13.447117221071343
2014-04-10,13.452748553979765
2014-04-11,13.255267073068326
2014-04-12,13.203522999558135
2014-04-13,13.14986958908554
2014-04-14,13.724783559321395
2014-04-15,13.449839556280352
2014-04-16,13.374131702658417
2014-04-17,13.441956822438513
2014-04-18,13.296793881575512
2014-04-19,13.118624396117474
2014-04-20,13.157537452411983
2014-04-21,13.341259521240719
2014-04-22,13.445069870877981
2014-04-23,13.288516594870003
2014-04-24,13.297910371916327
2014-04-25,13.240930105893248
2014-04-26,13.197413334322489
2014-04-27,12.948950024479382
2014-04-28,13.556773507196274
2014-04-29,13.493656552459475
2014-04-30,13.468923134901956
2014-05-01,13.51137791379531
2014-05-02,13.288189631669086
2014-05-03,13.015459449075474
2014-05-04,12.847170983189768
2014-05-05,13.32441239527086
2014-05-06,13.466806618137822
2014-05-07,13.454387162893456
2014-05-08,13.367802133235978
2014-05-09,13.3182590542254
2014-05-10,12.920496856116284
2014-05-11,13.079472577714963
2014-05-12,12.9353058234594
2014-05-13,13.541269745678287
2014-05-14,13.183191272676961
2014-05-15,13.0827718755174
2014-05-16,13.382446580690326
2014-05-17,13.19655391757779
2014-05-18,13.107314712102811
2014-05-19,13.368598259941937
2014-05-20,13.210467656958324
2014-05-21,13.414868798783807
2014-05-22,13.23436618412266
2014-05-23,13.11331254188391
2014-05-24,12.874232732644517
2014-05-25,13.218391481257683
2014-05-26,13.283422141379102
2014-05-27,13.531208101504708
2014-05-28,13.491595943326045
2014-05-29,13.297141554313159
2014-05-30,13.745251170498735
2014-05-31,13.686347894245943
2014-06-01,12.9757432714952
2014-06-02,13.566387441291116
2014-06-03,13.431771226714138
2014-06-04,13.555108966194043
2014-06-05,13.2525632265958
2014-06-06,13.155196425099563
2014-06-07,13.187476733292742
2014-06-08,13.333199502096484
2014-06-09,13.51478107030759
2014-06-10,13.816279262435271
2014-06-11,13.678198312629707
2014-06-12,13.635395365357756
2014-06-13,13.4608150821566
2014-06-14,13.242449536612163
2014-06-15,13.158479275604131
2014-06-16,13.586330070967515
2014-06-17,13.489567098725159
2014-06-18,13.526597060953732
2014-06-19,13.60937775006678
2014-06-20,13.457335918615756
2014-06-21,13.160412250374868
2014-06-22,13.02427855182813
2014-06-23,13.609085225181644
2014-06-24,13.353654447363088
2014-06-25,13.622972590921169
2014-06-26,13.630529467744413
2014-06-27,13.385959190896214
2014-06-28,13.269731104934754
2014-06-29,13.28963559212156
2014-06-30,13.488962909290626
2014-07-01,13.587434863604502
2014-07-02,13.640236509045238
2014-07-03,13.481893441605415
2014-07-04,13.029539504176606
2014-07-05,12.97600492582354
