Date,Sessions
2014-01-01,11.434682802908744
2014-01-02,12.324028999499404
2014-01-03,12.33820556074084
2014-01-04,12.680749712235068
2014-01-05,12.33806535498867
2014-01-06,12.726029452858592
2014-01-07,12.85865040383747
2014-01-08,12.861447862991502
2014-01-09,12.763460238596444
2014-01-10,12.419165860990882
2014-01-11,12.448858026899654
2014-01-12,12.276889851905812
2014-01-13,12.192404662764753
2014-01-14,12.318414236677137
2014-01-15,12.377084656489986
2014-01-16,12.11413826131076
2014-01-17,12.398080471913548
2014-01-18,11.852663790682405
2014-01-19,11.480402273264668
2014-01-20,12.173260155783623
2014-01-21,12.287223969231043
2014-01-22,12.453928321439516
2014-01-23,12.428067537387632
2014-01-24,11.750405752384491
2014-01-25,12.267877746777101
2014-01-26,12.141411450201765
2014-01-27,12.424557361303616
2014-01-28,12.424894873360824
2014-01-29,12.084797268743337
2014-01-30,12.126710123144834
2014-01-31,12.187312774374789
2014-02-01,11.83241139046554
2014-02-02,11.952244345834902
2014-02-03,12.45865848744434
2014-02-04,12.10879052272362
2014-02-05,12.257193425037888
2014-02-06,12.104161728714363
2014-02-07,12.206407589430203
2014-02-08,12.258859573890925
2014-02-09,12.140424175293612
2014-02-10,12.21630016568561
2014-02-11,11.734355549137696
2014-02-12,12.332048693281644
2014-02-13,12.350307179634232
2014-02-14,12.103524837166537
2014-02-15,11.839029855019286
2014-02-16,12.244475716813119
2014-02-17,12.572845434193843
2014-02-18,12.126742600518932
2014-02-19,12.566149795397305
2014-02-20,11.900335218411945
2014-02-21,11.973465707286358
2014-02-22,12.255800465201352
2014-02-23,11.774373925601987
2014-02-24,12.255124680170445
2014-02-25,12.597793735846079
2014-02-26,11.99318878315358
2014-02-27,11.88106938801211
2014-02-28,12.15377885080904
2014-03-01,12.406962407904507
2014-03-02,12.742215077279955
2014-03-03,12.200386510059188
2014-03-04,11.922130238471679
2014-03-05,12.349861252607345
2014-03-06,12.183392381806954
2014-03-07,11.943018142903123
2014-03-08,12.398641518775678
2014-03-09,12.228005355529723
2014-03-10,12.1318231248974
2014-03-11,12.094615807223962
2014-03-12,12.526469941248275
2014-03-13,12.233590531566913
2014-03-14,12.23973466852115
2014-03-15,11.855237758073125
2014-03-16,12.519473633012057
2014-03-17,12.385581918224293
2014-03-18,11.809668859362445
2014-03-19,12.6122608254922
2014-03-20,12.39863327036659
2014-03-21,12.232495467761279
2014-03-22,12.049822262868956
2014-03-23,12.415352538905209
2014-03-24,12.54392250422277
2014-03-25,12.089201693798758
2014-03-26,12.2940743653018
2014-03-27,11.942061525740565
2014-03-28,12.062161858589347
2014-03-29,12.35793499483942
2014-03-30,11.74095306985372
2014-03-31,12.036700877111778
2014-04-01,12.127278324963756
2014-04-02,12.258451600375082
2014-04-03,12.53685012633754
2014-04-04,12.004464288378447
2014-04-05,12.348504932403234
2014-04-06,12.549609157016171
2014-04-07,12.457834751366306
2014-04-08,12.227843921999629
2014-04-09,12.214566470649096
2014-04-10,12.27542145366416
2014-04-11,12.322766199027452
2014-04-12,11.14583936973118
2014-04-13,12.248169027673464
2014-04-14,12.381021255494696
2014-04-15,12.260456658721854
2014-04-16,12.181118873840733
2014-04-17,12.245000046440856
2014-04-18,12.151901529974184
2014-04-19,12.028362440093629
2014-04-20,12.052099449951655
2014-04-21,11.978249411561524
2014-04-22,11.92287384152816
2014-04-23,12.144643950533526
2014-04-24,12.664582346939667
2014-04-25,12.397973177104452
2014-04-26,11.299992111730875
2014-04-27,12.266424288914916
2014-04-28,12.475977637879273
2014-04-29,12.273637831692598
2014-04-30,12.014736579865035
2014-05-01,12.368931017410864
2014-05-02,12.126693884062233
2014-05-03,11.751997482032017
2014-05-04,12.391917156095387
2014-05-05,12.038972650722243
2014-05-06,12.265194962981703
2014-05-07,12.21276023367999
2014-05-08,12.243922226803923
2014-05-09,11.874626755637218
2014-05-10,11.84532513422101
2014-05-11,12.012591046477167
2014-05-12,12.187338247473923
2014-05-13,12.261904624488652
2014-05-14,12.208045697781788
2014-05-15,12.513469106091055
2014-05-16,12.38463297108719
2014-05-17,12.212069627633339
2014-05-18,12.227501400943467
2014-05-19,11.95151582351022
2014-05-20,12.632232140061873
2014-05-21,12.127878644611425
2014-05-22,11.751981734744488
2014-05-23,12.233585667268674
2014-05-24,11.72036230924258
2014-05-25,11.999011575046008
2014-05-26,12.123500491502778
2014-05-27,12.503484727536465
2014-05-28,12.462043438322127
2014-05-29,12.123256094307242
2014-05-30,12.790969026471704
2014-05-31,11.99313929229082
2014-06-01,11.889009821651529
2014-06-02,12.244480528426429
2014-06-03,12.27905355421498
2014-06-04,12.27427787357412
2014-06-05,12.004207347926041
2014-06-06,11.435698788556174
2014-06-07,11.6567140720474
2014-06-08,12.151384120179372
2014-06-09,12.793917642064303
2014-06-10,12.573572785041062
2014-06-11,12.491755220318163
2014-06-12,12.086590667488135
2014-06-13,12.1488036373396
2014-06-14,11.839065940860289
2014-06-15,11.87036911337996
2014-06-16,12.584310431383853
2014-06-17,12.2751695116095
2014-06-18,12.34989156462628
2014-06-19,12.157344479438821
2014-06-20,12.445589421042325
2014-06-21,11.952688934903401
2014-06-22,12.063189085973912
2014-06-23,12.109765468889632
2014-06-24,12.298565223255602
2014-06-25,12.164370055065762
2014-06-26,12.476031078093047
2014-06-27,12.608098512890825
2014-06-28,11.624100046145644
2014-06-29,12.014058264725318
2014-06-30,12.272609169330417
2014-07-01,12.379635119985952
2014-07-02,12.209043228975007
2014-07-03,12.434132093997983
2014-07-04,11.968646329409435
2014-07-05,12.273315319648184
